1,one,一,One
2,two,二,two
3,three,三,three
4,four,四,"four, pent in, human legs"
5,five,五,five
6,six,六,"six, top hat, animal legs"
7,seven,七,"seven, diced"
8,eight,八,eight
9,nine,九,"nine, baseball"
10,ten,十,"ten, needle"
11,mouth,口,mouth
12,day,日,"day, sun"
13,month,月,"month, moon, month, flesh, part of the body"
14,rice field,田,"rice field, brains"
15,eye,目,eye
16,old,古,"old, tombstone, gravestone, church, ten, needle, mouth"
17,I,吾,"I, five, mouth"
18,risk,冒,"risk, sun, day, eye"
19,companion,朋,"companion, moon, month, flesh, part of the body, moon2, month2, flesh2, part of the body2"
20,bright,明,"bright, sun, day, moon, month, flesh, part of the body"
21,chant,唱,"chant, mouth, prosperous, sun, day, tongue wagging, sun2, day2, tongue wagging2"
22,sparkle,晶,"sparkle, day, sun, day3, sun3"
23,goods,品,"goods, mouth, mouth3"
24,spine,呂,"spine, mouth, drop, mouth2"
25,prosperous,昌,"prosperous, sun, day, sun2, day2"
26,early,早,"early, sunflower, sun, day, ten, needle"
27,rising sun,旭,"rising sun, nine, baseball, sun, day"
28,generation,世,"generation, ten, twenty"
29,stomach,胃,"stomach, rice field, brains, moon, month, flesh, part of the body"
30,nightbreak,旦,"nightbreak, sun, one, floor"
31,gall bladder,胆,"gallbladder, moon, month, flesh, part of the body, nightbreak, sun, day, one, floor"
32,span,亘,"span, one, ceiling, sun, day, one, floor"
33,concave,凹,concave
34,convex,凸,convex
35,olden times,旧,"olden times, stick, sun, day"
36,oneself,自,"oneself, drop, eye"
37,white,白,"white, drop, sun, day"
38,hundred,百,"hundred, one, ceiling, white, dove"
39,in,中,"in, stick, mouth"
40,thousand,千,"thousand, drop, ten, needle"
41,tongue,舌,"tongue, thousand, drop, ten, needle, mouth"
42,measuring box,升,"measuring box, thousand, drop, ten, needle"
43,rise up,昇,"rise up, sun, day, measuring box, thousand, drop, ten, needle"
44,round,丸,"round, drop, nine, baseball"
45,measurement,寸,"measurement, glue, drop, ten with a hook"
47,specialty,専,"specialty, ten, needle, rice field, brains, glue"
48,Dr.,博,"Dr., ten, needle, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue"
49,fortune-telling,占,"fortune-telling, magic wand, augury, divining rod, mouth"
50,above,上,"above, magic wand, augury, divining rod, one, floor"
51,below,下,"below, one, ceiling, magic wand, augury, divining rod"
52,eminent,卓,"eminent, magic wand, augury, divinging rod, sunflower, sun, day, ten, needle"
53,morning,朝,"morning, mist, ten, needle, early, sun, day, moon, month, flesh, part of the body, ten2, needle2"
55,only,只,"only, mouth, animal legs, eight"
56,shellfish,貝,"shellfish, shellfish, clam, oyster, eye, animal legs, eight"
58,upright,貞,"upright, magic wand, augury, divining rod, shellfish, clam, oyster, eye, animal legs, eight"
59,employee,員,"employee, mouth, shellfish, clam, oyster, eye, animal legs, eight"
61,see,見,"see, eye, human legs"
62,newborn babe,児,"newborn babe, olden times, stick, sun, day, human legs"
63,beginning,元,"beginning, two, human legs"
64,page,頁,"page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
65,stubborn,頑,"stubborn, beginning, two, human legs, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
66,mediocre,凡,"mediocre, drop, wind"
67,defeat,負,"defeat, bound up, shellfish, clam, oyster, eye, animal legs, eight"
68,ten thousand,万,"ten thousand, one, ceiling, bound up"
69,phrase,句,"phrase, bound up, mouth"
70,texture,肌,"texture, moon, month, flesh, part of the body, wind"
71,decameron,旬,"decameron, bound up, sun, day"
72,ladle,勺,"ladle, bound up, drop"
73,bull´s eye,的,"bull’s eye, white, dove, ladle, bound up, drop"
74,neck,首,"neck, horns, nose, one, ceiling, drop, eye"
75,fish guts,乙,"fishguts, fishhook"
76,riot,乱,"riot, tongue, thousand, drop, ten, needle, mouth, fishhook"
77,straightaway,直,"straightaway, ten, needle, eye, fishhook"
78,tool,具,"tool, eye, tool, one, animal legs, eight"
79,TRUE,真,"true, ten, needle, eye, tool, one, animal legs, eight"
80,craft,工,"craft, artificial"
81,left,左,"left, by one’s side, craft"
82,right,右,"right, by one’s side, mouth"
83,possess,有,"possess, by one’s side, moon, month, flesh, part of the body"
84,bribe,賄,"bribe, shellfish, clam, oyster, eye, animal legs, eight, possess, by one’s side, moon, month, flesh, part of the body"
85,tribute,貢,"tribute, craft, shellfish, clam, oyster, eye, animal legs, eight"
86,paragraph,項,"paragraph, craft, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
87,sword,刀,"sword, dagger"
88,blade,刃,"blade, drop, sword, dagger"
89,cut,切,"cut, seven, diced, sword, dagger"
90,seduce,召,"seduce, sword, dagger, mouth"
91,shining,昭,"shining, sun, day, seduce, summon, sword, dagger, mouth"
92,rule,則,"rule, shellfish, clam, oyster, eye, animal legs, eight, sword, sabre, saber"
93,vice-,副,"vice-, wealth, one, ceiling, mouth, rice field, brains, sword, sabre, saber"
94,separate,別,"separate, mouth, bound up, sword, sabre, saber"
95,street,丁,"street, street, nail, spike"
96,village,町,"village, rice field, brains, street, nail, spike"
97,can,可,"can, mouth, street, street, nail, spike"
98,place on the head,頂,"place on the head, street, nail, spike, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
99,child,子,child
100,cavity,孔,"cavity, child, fishhook"
101,complete,了,"complete, child with arms wrapped up"
102,woman,女,woman
103,fond,好,"fond, woman, child"
104,likeness,如,"likeness, woman, mouth"
105,mama,母,"mama, mother, breasts"
106,pierce,貫,"pierce, mama, mother, breasts, oyster, shellfish, clam, oyster, eye, animal legs, eight"
107,elder brother,兄,"elder brother, teenager, mouth, human legs"
109,overcome,克,"overcome, ten, needle, elder brother, teenager, mouth, human legs"
110,little,小,"little, small"
111,few,少,"few, little, small, drop"
112,large,大,"large, St. Bernard"
113,many,多,"many, evening, evening2"
114,evening,夕,evening
115,eventide,汐,"eventide, water, water droplets, water pistol, evening"
116,outside,外,"outside, evening, magic wand, augury"
117,name,名,"name, evening, mouth"
118,stone,石,"stone, cliff, mouth"
119,resemblance,肖,"resemblance, spark, candle, small, little, moon, month, flesh, part of the body"
120,nitrate,硝,"nitrate, stone, rock, resemblance, spark, candle, small, little, moon, month, flesh, part of the body"
121,smash,砕,"smash, stone, rock, ninety, nine, baseball, ten, needle"
122,sand,砂,"sand, stone, rock, few"
124,plane,削,"plane, resemblance, spark, candle, small, little, moon, month, flesh, part of the body, sword, sabre, saber"
125,ray,光,"ray, small, little, human legs"
126,plump,太,"plump, large, St. Bernard, drop"
127,utensil,器,"utensil, mouth, large, St. Bernard, mouth4"
128,stinking,臭,"stinking, nose, drop, eye, large, St. Bernard"
130,exquisite,妙,"exquisite, woman, few"
131,focus,省,"focus, few, eye"
132,thick,厚,"thick, cliff, sun, day, child"
133,strange,奇,"strange, large, St. Bernard, can, mouth, street, nail, spike"
134,stream,川,"stream, flood"
135,state,州,"state, stream, flood, drops"
136,obey,順,"obey, stream, flood, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
137,water,水,water
138,icicle,氷,"icicle, drop, water"
139,eternity,永,"eternity, drop, water"
140,spring,泉,"spring, white, dove, water"
142,meadow,原,"meadow, cliff, spring, white, dove, small, little"
143,petition,願,"petition, meadow, cliff, white, dove, small, little, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
144,swim,泳,"swim, water, water droplets, water pistol, eternity"
145,marsh,沼,"marsh, water, water droplets, water pistol, summon, seduce, sword, dagger, mouth"
146,open sea,沖,"open sea, water, water droplets, water pistol, in, stick, mouth"
148,creek,江,"creek, water, water droplets, water pistol, craft"
150,soup,汁,"soup, water, water droplets, water pistol, ten, needle"
152,tide,潮,"tide, water, water droplets, water pistol, morning , mist, ten, needle, early, sun, day, moon, month, flesh, part of the body, ten2, needle2"
153,source,源,"source, water, water droplets, water pistol, meadow, cliff, sun, day, small, little"
154,lively,活,"lively, water, water droplets, water pistol, tongue, drop, old, tombstone, gravestone, church, ten, needle, mouth"
155,extinguish,消,"extinguish, water, water droplets, water pistol, resemblance, spark, candle, small, little, moon, month, flesh, part of the body"
156,but of course,況,"but of course, water, water droplets, water pistol, elder brother, teenager, mouth, human legs"
157,river,河,"river, water, water droplets, water pistol, can, street, nail, spike, mouth"
158,overnight,泊,"overnight, water, water droplets, water pistol, white, dove"
159,lake,湖,"lake, water, water droplets, water pistol, uncivilized, zombie, old, tombstone, gravestone, church, ten, needle, mouth, moon, month, flesh, part of the body"
160,fathom,測,"fathom, water, water droplets, water pistol, rule, shellfish, clam, oyster, eye, animal legs, eight, sword, sabre, saber"
161,soil,土,"soil, dirt, ground"
162,spit,吐,"spit, mouth, soil, dirt, ground"
163,pressure,圧,"pressure, cliff, soil, dirt, ground"
164,cape,埼,"cape, soil, dirt, ground, strange, large, St. Bernard, street, nail, spike, mouth"
165,hedge,垣,"hedge, soil, dirt, ground, span, one, ceiling, sun, day, one, floor, one"
167,squared jewel,圭,"square jewel, ivy, soil, dirt, ground, soil2, dirt2, ground2"
168,seal,封,"seal, ivy, square jewel, soil, dirt, ground, glue, soil2, dirt2, ground2"
169,horizon,涯,"horizon, water, water droplets, water pistol, cliff, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2"
170,Buddhist temple,寺,"buddhist temple, soil, dirt, ground, glue"
